track,frame_idx,instance.score,snout.x,snout.y,snout.score,left_eye.x,left_eye.y,left_eye.score,right_eye.x,right_eye.y,right_eye.score,hyoid.x,hyoid.y,hyoid.score,left_pec_fin_base.x,left_pec_fin_base.y,left_pec_fin_base.score,right_pec_fin_base.x,right_pec_fin_base.y,right_pec_fin_base.score,pelvic_fin_base.x,pelvic_fin_base.y,pelvic_fin_base.score,anus.x,anus.y,anus.score,peduncle.x,peduncle.y,peduncle.score,ventral_caudal.x,ventral_caudal.y,ventral_caudal.score,dorsal_caudal.x,dorsal_caudal.y,dorsal_caudal.score,left_pec_fin_tip.x,left_pec_fin_tip.y,left_pec_fin_tip.score,right_pec_fin_tip.x,right_pec_fin_tip.y,right_pec_fin_tip.score
,0,0.9387595653533936,1775.8516845703125,520.238525390625,0.9806184768676758,1759.576416015625,512.3472900390625,0.8885169625282288,1779.9111328125,503.45849609375,0.92814701795578,1764.779052734375,500.4054260253906,0.8946577906608582,1747.5772705078125,491.79656982421875,0.8659956455230713,1768.64501953125,480.1627197265625,0.861564576625824,1743.7547607421875,451.60552978515625,0.913112998008728,1732.24658203125,427.921142578125,0.898216187953949,1715.9669189453125,367.9029235839844,0.7491567730903625,1695.96630859375,331.74365234375,0.6107875108718872,1695.8607177734375,331.51220703125,0.5258888006210327,1720.479736328125,483.9148864746094,0.6990272998809814,1776.51220703125,452.0347595214844,0.736991822719574
,1,0.9402944445610046,1775.88525390625,520.50830078125,0.9836357831954956,1759.56396484375,515.5548095703125,0.8917057514190674,1779.913330078125,503.68310546875,0.9349780678749084,1764.7982177734375,500.65850830078125,0.886895477771759,1747.58984375,492.0497131347656,0.870350182056427,1768.611328125,480.40997314453125,0.8643372654914856,1743.7177734375,451.7589111328125,0.916179358959198,1732.18115234375,428.075439453125,0.8993983268737793,1715.9691162109375,368.0617370605469,0.75080406665802,1696.114990234375,331.77587890625,0.6030859351158142,1695.974365234375,331.7574157714844,0.5197091102600098,1720.4580078125,484.1007080078125,0.7071079611778259,1776.4718017578125,452.23773193359375,0.7373064160346985
,2,0.9380871653556824,1775.91357421875,520.8489379882812,0.979358971118927,1759.583984375,515.865234375,0.9038456082344055,1779.926513671875,503.9786376953125,0.942827582359314,1767.6240234375,503.86468505859375,0.8899850249290466,1747.62744140625,492.3602294921875,0.8698780536651611,1768.6002197265625,480.72509765625,0.864814817905426,1743.68505859375,451.9573059082031,0.9179831743240356,1732.107421875,428.26934814453125,0.9037731289863586,1715.9757080078125,368.25048828125,0.7580763697624207,1696.3748779296875,331.9140625,0.6150645017623901,1696.257080078125,331.9225158691406,0.5349085330963135,1720.4593505859375,484.34149169921875,0.7164069414138794,1776.4326171875,452.47760009765625,0.739218533039093
,3,0.9423339366912842,1776.0115966796875,521.2924194335938,0.9746353626251221,1759.6832275390625,516.289794921875,0.9117386341094971,1779.995361328125,504.39862060546875,0.9445753693580627,1767.7039794921875,504.293212890625,0.893297016620636,1747.7076416015625,492.77337646484375,0.8681713342666626,1768.6458740234375,481.13812255859375,0.8635794520378113,1743.7283935546875,452.30963134765625,0.9192132353782654,1732.106201171875,428.61590576171875,0.9042007923126221,1716.0513916015625,368.6305236816406,0.7660025358200073,1699.947265625,332.33258056640625,0.64491206407547,1699.87451171875,332.1083068847656,0.5613709092140198,1720.5211181640625,484.71905517578125,0.7185022830963135,1776.469970703125,452.867919921875,0.7382990121841431
,4,,1776.226113288945,523.8626708984375,,1759.4691162109375,516.4793423741797,,1779.9320068359375,504.7032470703125,,1767.463623046875,504.37237548828125,,1748.9171068607552,493.81789421427084,,1768.9254631253255,482.48809629391934,,1742.6584176747003,453.7706372825651,,1734.072110452441,425.78544234514396,,1714.9555183172915,367.79464813806004,,1697.1695186706902,329.94349346485683,,,,,1720.5987548801172,488.93149544225236,,1780.0410082333333,451.09831931300783,
,5,0.9429988265037537,1776.16064453125,524.1318359375,0.9840061664581299,1759.8857421875,516.329345703125,0.9101669192314148,1780.1099853515625,504.3681640625,0.9358556866645813,1767.856689453125,504.2939147949219,0.900969386100769,1747.81298828125,495.8212890625,0.8707941174507141,1771.7547607421875,483.981689453125,0.8639575242996216,1743.76123046875,455.6353454589844,0.916736364364624,1732.229248046875,431.924560546875,0.8997129797935486,1716.2861328125,371.7825012207031,0.7439917325973511,1703.97607421875,335.7025146484375,0.6113974452018738,1703.9561767578125,335.60247802734375,0.5421358346939087,1723.623046875,487.95050048828125,0.7206706404685974,1779.78369140625,455.9909973144531,0.7350743412971497
,6,0.9515446424484253,1776.2491455078125,524.4318237304688,0.9885834455490112,1759.969482421875,516.621337890625,0.9075193405151367,1780.1669921875,504.6234130859375,0.9339433908462524,1767.927734375,504.5784912109375,0.8979725241661072,1747.88330078125,496.09893798828125,0.8742189407348633,1771.7635498046875,484.2720947265625,0.869010865688324,1743.7786865234375,455.82281494140625,0.9201110005378723,1732.199462890625,432.11859130859375,0.9031581878662109,1716.306640625,371.99017333984375,0.74805748462677,1704.0772705078125,335.8473205566406,0.606874406337738,1704.0626220703125,335.7442626953125,0.5363810658454895,1723.6484375,488.16534423828125,0.724270224571228,1776.5452880859375,456.1619567871094,0.7373757362365723
,7,0.9573971033096313,1776.3280029296875,524.7479248046875,0.9909303188323975,1760.006103515625,519.865478515625,0.9150665998458862,1780.2515869140625,507.86981201171875,0.9358255863189697,1767.9912109375,504.87237548828125,0.8899452686309814,1747.954833984375,496.37835693359375,0.876222550868988,1771.78173828125,484.568359375,0.870797872543335,1743.79541015625,456.00848388671875,0.9246792793273926,1732.165771484375,432.3014221191406,0.9050913453102112,1716.3206787109375,372.1920166015625,0.7537489533424377,1704.1925048828125,335.9859924316406,0.6115566492080688,1704.192626953125,335.8857116699219,0.5406085252761841,1723.6746826171875,488.3858642578125,0.7315974235534668,1776.5628662109375,456.40533447265625,0.7401431798934937
,8,0.9555850028991699,1776.411865234375,524.9879150390625,0.9839245080947876,1760.0667724609375,520.1148071289062,0.9207441806793213,1780.3016357421875,508.0796203613281,0.9402918219566345,1768.0087890625,508.0599060058594,0.8923624753952026,1748.00830078125,496.6217041015625,0.8758509755134583,1771.772705078125,484.82220458984375,0.870334267616272,1743.7987060546875,456.17816162109375,0.9224129319190979,1732.120849609375,432.4726257324219,0.9058932662010193,1716.31005859375,372.36456298828125,0.7556828856468201,1704.3800048828125,336.1316223144531,0.6148455739021301,1704.3909912109375,336.0303649902344,0.5444377660751343,1723.7220458984375,488.60198974609375,0.7319931983947754,1776.5491943359375,456.62823486328125,0.7422475218772888
,9,0.9524816870689392,1776.468505859375,525.282470703125,0.9771811962127686,1760.1309814453125,520.3861694335938,0.9264650940895081,1780.33251953125,508.3466796875,0.9427070617675781,1768.0499267578125,508.3294677734375,0.8955376744270325,1748.0408935546875,496.8740539550781,0.8763121366500854,1771.78662109375,485.0865478515625,0.8706292510032654,1743.8099365234375,456.3652038574219,0.922857403755188,1732.09130859375,432.6700134277344,0.905255913734436,1716.3095703125,372.5767822265625,0.7631397247314453,1704.5810546875,336.33941650390625,0.6420051455497742,1704.6160888671875,336.2507629394531,0.5749112963676453,1723.73779296875,488.7988586425781,0.7286958694458008,1776.5618896484375,456.86395263671875,0.741016685962677
,10,0.9459918141365051,1776.5703125,528.4788818359375,0.9662723541259766,1760.20263671875,520.6866455078125,0.9303792119026184,1780.402099609375,508.6477355957031,0.9467426538467407,1768.1279296875,508.64801025390625,0.8984091877937317,1748.09912109375,497.1632385253906,0.8778470754623413,1771.82373046875,485.4010009765625,0.8698973059654236,1743.83837890625,456.58172607421875,0.922001838684082,1732.0692138671875,432.89013671875,0.903844952583313,1716.3182373046875,372.82373046875,0.7726336121559143,1707.8892822265625,336.4743347167969,0.6771831512451172,1707.8843994140625,336.50042724609375,0.6091552972793579,1723.7666015625,489.021728515625,0.7267773151397705,1776.588623046875,457.1266784667969,0.7399855256080627
,11,0.9482241272926331,1776.7091064453125,528.1266479492188,0.976881206035614,1760.404296875,520.4171142578125,0.9265202879905701,1780.540771484375,508.3481140136719,0.9474208950996399,1768.3023681640625,508.358642578125,0.9088020324707031,1748.2647705078125,499.9549560546875,0.877737820148468,1772.044921875,487.9788818359375,0.8692188262939453,1743.9461669921875,459.7188415527344,0.9211910963058472,1732.30419921875,436.02294921875,0.8988601565361023,1716.544677734375,375.8366394042969,0.7492296099662781,1708.2401123046875,339.75970458984375,0.6581136584281921,1708.29638671875,339.6753234863281,0.5964094400405884,1723.9678955078125,492.19000244140625,0.7440786361694336,1779.9813232421875,459.9949951171875,0.7379432320594788
,12,0.9474059343338013,1776.78466796875,528.45361328125,0.9809900522232056,1760.4871826171875,520.7347412109375,0.9237250089645386,1780.5987548828125,508.64813232421875,0.9464207887649536,1768.373779296875,508.6697692871094,0.9060515761375427,1748.33935546875,500.2628173828125,0.8803790211677551,1772.072509765625,488.2933349609375,0.8695095181465149,1743.983154296875,459.97998046875,0.9221563935279846,1732.2938232421875,436.2919921875,0.8998935222625732,1716.5562744140625,376.1310119628906,0.7565730214118958,1708.458740234375,339.8688659667969,0.676801323890686,1708.487548828125,339.94927978515625,0.6147441864013672,1724.0428466796875,492.4819641113281,0.7452752590179443,1776.753173828125,460.2252502441406,0.7383269667625427
,13,0.9424030184745789,1776.8385009765625,528.719482421875,0.9835855960845947,1760.471435546875,523.9164428710938,0.9200431704521179,1780.6304931640625,508.8714294433594,0.944851279258728,1768.410888671875,508.91790771484375,0.9051938652992249,1748.361328125,500.4923095703125,0.8842165470123291,1772.05224609375,488.53631591796875,0.875482976436615,1743.9521484375,460.1444091796875,0.924424409866333,1732.2164306640625,436.4700927734375,0.8983768820762634,1716.5106201171875,376.3348083496094,0.7655328512191772,1708.607421875,340.06610107421875,0.6925093531608582,1708.6553955078125,340.12005615234375,0.6257152557373047,1724.042236328125,492.687744140625,0.7479874491691589,1776.719970703125,460.4385986328125,0.7431899309158325
,14,0.9357456564903259,1776.90234375,528.9743041992188,0.9822515249252319,1760.5244140625,524.1738891601562,0.9295545220375061,1780.6732177734375,509.09027099609375,0.9431650638580322,1768.458740234375,509.1650695800781,0.9017403721809387,1748.3905029296875,500.72021484375,0.8892624378204346,1772.0518798828125,488.78277587890625,0.8805045485496521,1743.954833984375,460.3235778808594,0.925774335861206,1732.169921875,436.6404724121094,0.897544264793396,1716.47607421875,376.5535888671875,0.7695790529251099,1708.79736328125,340.21588134765625,0.6957273483276367,1711.8917236328125,340.26678466796875,0.6338816285133362,1724.038818359375,492.87530517578125,0.7433401346206665,1776.7220458984375,460.6538391113281,0.7392092347145081
,15,0.928300678730011,1776.9189453125,529.2153930664062,0.9803295135498047,1760.53759765625,524.40380859375,0.9342682361602783,1780.718505859375,512.2698364257812,0.9402744174003601,1768.436767578125,512.3306884765625,0.8982241153717041,1748.402587890625,500.9180908203125,0.8919592499732971,1772.041259765625,489.00189208984375,0.8827601075172424,1743.939208984375,460.487060546875,0.9259840250015259,1732.0975341796875,436.8138122558594,0.8953338265419006,1716.428955078125,376.7561950683594,0.7727826833724976,1711.998046875,340.3561096191406,0.712569534778595,1712.0518798828125,340.42449951171875,0.654304563999176,1724.047607421875,493.05242919921875,0.7394149899482727,1776.701416015625,460.8439636230469,0.7377594113349915
,16,0.9255369901657104,1779.9024658203125,531.74853515625,0.9582324028015137,1760.7393798828125,524.1783447265625,0.9438612461090088,1780.8447265625,512.017822265625,0.9476905465126038,1768.5885009765625,512.09765625,0.9138075709342957,1748.5465087890625,503.7749938964844,0.8733221292495728,1772.246826171875,491.6153564453125,0.8595325350761414,1744.040283203125,463.6680603027344,0.9170231223106384,1732.360107421875,439.9972229003906,0.8941251039505005,1716.6224365234375,379.79791259765625,0.74540776014328,1712.10498046875,343.7157287597656,0.6828747391700745,1712.1763916015625,343.6380310058594,0.6214854121208191,1724.26318359375,496.25726318359375,0.7527973651885986,1780.1151123046875,463.7273254394531,0.7268328070640564
,17,0.9316713213920593,1779.86572265625,531.9227905273438,0.9682583808898926,1760.720458984375,524.334228515625,0.9427521228790283,1780.8134765625,512.1676025390625,0.9504478573799133,1768.5736083984375,512.2625732421875,0.9174917340278625,1748.535400390625,503.922119140625,0.8795211315155029,1772.194580078125,491.78338623046875,0.8653830289840698,1743.9764404296875,463.75433349609375,0.919940710067749,1732.2552490234375,440.0963134765625,0.895231306552887,1716.52685546875,379.9465637207031,0.7562481164932251,1712.1280517578125,343.824462890625,0.7041481733322144,1712.20458984375,343.7578430175781,0.6449557542800903,1724.2325439453125,496.3736572265625,0.7553724646568298,1780.04833984375,463.845458984375,0.7319341897964478
,18,0.9319795966148376,1779.9063720703125,532.1004028320312,0.9858173727989197,1760.7513427734375,524.4883422851562,0.9333004355430603,1780.8209228515625,512.2985229492188,0.9500329494476318,1768.5986328125,512.4121704101562,0.9176225662231445,1748.5234375,504.0510559082031,0.8861794471740723,1772.146484375,491.926513671875,0.872870147228241,1743.9259033203125,463.81134033203125,0.9220428466796875,1732.1422119140625,440.1597595214844,0.8929207921028137,1716.4378662109375,380.0560302734375,0.7634839415550232,1712.1968994140625,343.7623596191406,0.7163593173027039,1712.2659912109375,343.8362121582031,0.6544544696807861,1724.196533203125,496.4634094238281,0.7527607679367065,1779.9881591796875,463.9458312988281,0.7371537089347839
,19,0.9305400252342224,1779.940673828125,532.2442626953125,0.9928220510482788,1760.7591552734375,524.6441040039062,0.9264053702354431,1780.8409423828125,512.430419921875,0.947430431842804,1768.624267578125,512.5657348632812,0.9140445590019226,1748.531982421875,504.1856994628906,0.8896738886833191,1772.12646484375,492.07891845703125,0.8778185248374939,1743.9024658203125,463.9077453613281,0.9231132864952087,1732.071533203125,440.26519775390625,0.8943420052528381,1716.35498046875,380.2043151855469,0.7658697962760925,1712.2613525390625,343.8822326660156,0.7330614328384399,1712.33447265625,343.7185363769531,0.6676199436187744,1724.19580078125,496.5738525390625,0.7534779906272888,1779.960693359375,464.0770263671875,0.7396976947784424
,20,0.9353938102722168,1779.9295654296875,532.4479370117188,0.999769389629364,1760.75439453125,524.8324584960938,0.9216563105583191,1780.82861328125,512.5975341796875,0.9473752975463867,1768.6190185546875,512.7489624023438,0.912140429019928,1748.52294921875,504.33758544921875,0.8907030820846558,1772.087646484375,492.2550048828125,0.8794214725494385,1743.8726806640625,464.0316162109375,0.9224227070808411,1731.99072265625,440.4064636230469,0.8923372626304626,1716.2828369140625,380.3828125,0.772312343120575,1712.3917236328125,344.0121765136719,0.7464049458503723,1712.475830078125,343.85687255859375,0.6809788942337036,1724.0999755859375,500.0924072265625,0.751143753528595,1776.659912109375,464.1806640625,0.7399062514305115
